ID;Colobomatus muraenae;Hatschekia obesa;Phagus muraenae;Gnathia larva;Capillaria;Cucullanus;Hysterothylacium larva;Philometroides giginosantoroi;Dydimozoid larva;Helicometra fasciata;Lecithochirium grandiporum;Muraenicola mediterraneus;Acanthocephaloides propinquus;Tetraph_larva;Diphyllob_larva;tot
1;0;14;46;2;1;0;0;0;0;0;1;0;0;0;0;64
2;0;0;10;0;0;0;1;0;0;0;1;0;0;0;0;12
3;0;0;16;0;0;0;0;0;0;0;8;0;0;0;0;24
4;1;0;0;1;0;0;0;0;0;0;4;0;0;0;0;6
5;1;0;3;0;0;2;1;12;0;0;11;0;0;0;0;30
6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2
7;0;0;2;9;0;0;0;0;0;0;1;0;0;0;0;12
8;1;0;2;2;1;0;0;0;0;1;0;0;0;0;0;7
9;4;6;136;0;1;0;0;0;0;0;11;0;0;9;0;167
10;1;1;16;0;0;0;0;0;0;1;10;0;0;0;0;29
11;0;0;6;2;0;0;0;0;0;1;3;0;0;0;0;12
12;0;2;9;0;0;1;0;0;0;0;1;0;0;0;0;13
13;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;14
14;1;0;12;1;0;0;0;0;0;2;38;0;0;0;0;54
15;0;0;17;1;0;0;0;0;0;2;22;1;0;0;0;43
16;1;0;11;0;0;0;0;0;0;0;6;0;0;0;0;18
17;0;0;29;2;0;1;0;0;0;0;2;0;0;0;0;34
18;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;5
19;0;1;6;0;0;0;0;0;2;0;3;0;0;0;0;12
20;1;4;47;0;0;3;0;3;0;0;5;0;0;0;0;63
21;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;6
22;0;0;7;0;0;1;0;0;0;0;1;0;0;0;0;9
23;1;1;18;1;0;0;0;0;0;0;2;0;0;0;0;23
24;20;1;0;1;0;3;0;0;0;0;9;0;0;0;0;34
25;0;1;7;0;0;1;0;0;0;0;3;0;0;0;0;12
26;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;4
27;0;1;9;1;0;2;0;0;0;0;11;0;0;0;0;24
28;0;3;9;0;0;0;0;0;0;0;5;0;0;1;0;18
29;0;2;0;0;0;0;0;1;0;0;4;0;0;0;0;7
30;1;0;16;0;0;1;0;0;0;0;2;0;0;0;0;20
31;1;2;1;0;0;0;0;0;0;0;1;7;0;0;0;12
32;0;0;0;0;0;0;0;3;0;0;5;0;0;0;0;8
33;0;4;4;6;1;0;1;0;0;2;0;7;0;0;1;26
34;0;0;9;0;0;0;3;0;0;0;0;4;0;0;0;16
35;2;0;0;1;1;1;0;0;0;0;13;3;0;0;0;21
36;0;0;18;7;0;2;0;0;1;1;2;3;0;0;0;34
37;1;2;5;0;0;0;1;0;2;0;7;0;0;0;0;18
38;1;2;17;0;0;0;0;4;0;0;9;11;0;0;0;44
39;0;1;5;0;0;0;4;0;0;0;0;0;0;0;0;10
40;0;2;13;0;0;0;1;0;3;0;0;1;0;0;0;20
41;0;0;7;0;0;0;0;0;0;0;15;0;0;0;0;22
42;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
43;2;1;8;0;0;1;0;0;0;0;1;0;0;0;0;13
44;0;0;0;0;0;1;0;0;0;0;9;0;0;0;0;10
45;1;0;11;0;0;0;0;0;0;1;3;0;0;0;0;16
46;0;0;15;0;0;0;0;0;0;0;1;0;0;0;0;16
47;0;0;9;3;0;0;0;0;0;0;0;0;0;0;0;12
48;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;3
49;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;9
50;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;5
51;0;0;12;0;0;0;0;0;0;0;4;0;0;0;0;16
52;2;1;6;0;0;0;0;1;0;0;0;0;0;0;0;10
53;0;7;15;1;0;1;17;0;0;0;0;0;0;0;0;41
54;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
55;1;0;5;0;0;0;0;0;0;0;12;0;5;0;0;23
56;1;0;4;0;0;0;0;6;0;0;0;0;0;0;0;11
57;1;0;6;0;0;0;0;0;0;0;7;0;0;0;0;14
58;0;3;6;0;0;0;0;0;0;0;18;0;0;0;0;27
59;0;0;21;0;0;0;0;0;0;0;6;0;0;0;0;27
60;1;0;12;0;0;1;0;1;0;0;1;0;0;0;0;16
61;2;2;11;0;0;0;0;3;1;0;12;0;0;0;0;31
62;1;0;12;0;0;1;0;0;0;0;4;0;0;0;0;18
63;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;5
64;0;0;8;0;1;0;1;0;0;0;2;1;0;0;0;13
65;2;0;2;0;1;1;0;0;0;1;25;0;0;0;0;32
66;0;1;4;0;0;0;0;0;0;0;3;3;0;0;0;11
67;1;0;10;1;4;0;0;0;0;0;12;0;0;0;0;28
68;0;0;4;0;0;0;0;0;0;0;7;0;0;0;0;11
69;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;6
70;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
71;0;0;1;0;3;0;0;0;0;0;1;0;0;0;0;5
72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;0;0;0;0;1;4;0;0;0;0;1;0;0;0;0;6
74;0;29;55;7;0;2;1;0;7;0;0;0;0;0;0;101
75;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;7
76;0;0;0;3;0;1;0;0;0;0;6;0;0;0;1;11
77;5;4;23;0;0;0;0;0;0;0;29;0;0;0;0;61
78;0;0;5;7;0;0;1;0;0;0;0;0;0;0;0;13
79;0;0;12;7;0;2;0;0;0;0;0;0;0;0;0;21
80;0;23;28;1;0;4;0;0;0;0;2;12;0;0;0;70